PLAYER,TOTAL_SCORE,CHEST_COUNT,Arena,Authority Rush tournament,Clan wealth,Clash for the Throne tournamer,Epic Ancient squad,Epic Undead squad,Jormungandr Shop,Level 10 Citadel,Level 10 Crypt,Level 10 rare Crypt,Level 15 Citadel,Level 15 Crypt,Level 15 epic Crypt,Level 15 rare Crypt,Level 16 heroic Monster,Level 20 Citadel,Level 20 Crypt,Level 20 epic Crypt,Level 20 heroic Monster,Level 20 rare Crypt,Level 20-24 Vault of the Ancient,Level 25 Citadel,Level 25 Crypt,Level 25 epic Crypt,Level 25 rare Crypt,Level 25-29 Vault of the Ancient,Level 30 Citadel,Level 30 epic Crypt,Level 30 rare Crypt,Level 30-34 Vault of the Ancient,Level 32 heroic Monster,Level 35 epic Crypt,Level 35-39 Vault of the Ancient,Level 40 heroic Monster,Level 40-44 Vault of the Ancient,Level 41 heroic Monster,Level 42 heroic Monster,Level 43 heroic Monster,Level 44 heroic Monster,Level 45 Vault of the Ancients,Level 45 heroic Monster,Level 5 Crypt,Mercenary Exchange,Mimic Chest,Rise of the Ancients event,Shadow City,Union of Triumph personal rew,Union of Triumph personal rew.,Union of Triumph personal rew:
Megninad,31370,851,0,0,0,0,0,0,0,0,130,0,150,240,0,0,0,180,120,0,0,0,0,750,12850,0,0,0,270,0,1980,0,0,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajurus,25615,538,0,0,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0,60,0,0,0,0,3275,12975,4550,0,1080,90,3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragorn,8830,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2700,2000,0,60,0,360,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe 2,8815,303,0,0,0,0,0,0,0,0,40,0,375,15,765,150,0,2020,440,1620,0,1360,0,75,1150,75,400,0,0,270,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumblebee,6670,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,250,2100,0,0,1020,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategus,5975,205,0,0,0,0,0,0,0,0,60,0,90,105,225,90,0,340,640,1320,0,680,0,375,1425,225,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tugo,5515,213,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,3000,1080,0,0,0,0,25,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Court Jester Herzi,5390,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,3875,600,100,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angus,5055,127,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,2025,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUARDIENoffHUNDER,4980,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,1550,0,30,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisea,4935,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,3120,0,80,0,100,1325,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DerBremer SK,4710,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,600,2400,0,0,30,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEEZLEBUB,4575,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1825,750,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoppingqueen49x2,4340,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus,4310,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1850,525,800,0,750,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 